Spot_index,x,y
0,100,1
1,101,1
2,102,1
3,94,2
4,95,2
5,96,2
6,97,2
7,98,2
8,99,2
9,100,2
10,101,2
11,102,2
12,103,2
13,104,2
14,105,2
15,106,2
16,107,2
17,86,3
18,87,3
19,88,3
20,89,3
21,90,3
22,91,3
23,92,3
24,93,3
25,94,3
26,95,3
27,96,3
28,97,3
29,98,3
30,99,3
31,100,3
32,101,3
33,102,3
34,103,3
35,104,3
36,105,3
37,106,3
38,107,3
39,108,3
40,109,3
41,110,3
42,111,3
43,112,3
44,113,3
45,114,3
46,115,3
47,82,4
48,83,4
49,84,4
50,85,4
51,86,4
52,87,4
53,88,4
54,89,4
55,90,4
56,91,4
57,92,4
58,93,4
59,94,4
60,95,4
61,96,4
62,97,4
63,98,4
64,99,4
65,100,4
66,101,4
67,102,4
68,103,4
69,104,4
70,105,4
71,106,4
72,107,4
73,108,4
74,109,4
75,110,4
76,111,4
77,112,4
78,113,4
79,114,4
80,115,4
81,116,4
82,117,4
83,79,5
84,80,5
85,81,5
86,82,5
87,83,5
88,84,5
89,85,5
90,86,5
91,87,5
92,88,5
93,89,5
94,90,5
95,91,5
96,92,5
97,93,5
98,94,5
99,95,5
100,96,5
101,97,5
102,98,5
103,99,5
104,100,5
105,101,5
106,102,5
107,103,5
108,104,5
109,105,5
110,106,5
111,107,5
112,108,5
113,109,5
114,110,5
115,111,5
116,112,5
117,113,5
118,114,5
119,115,5
120,116,5
121,117,5
122,118,5
123,119,5
124,78,6
125,79,6
126,80,6
127,81,6
128,82,6
129,83,6
130,84,6
131,85,6
132,86,6
133,87,6
134,88,6
135,89,6
136,90,6
137,91,6
138,92,6
139,93,6
140,94,6
141,95,6
142,96,6
143,97,6
144,98,6
145,99,6
146,100,6
147,101,6
148,102,6
149,103,6
150,104,6
151,105,6
152,106,6
153,107,6
154,108,6
155,109,6
156,110,6
157,111,6
158,112,6
159,113,6
160,114,6
161,115,6
162,116,6
163,117,6
164,118,6
165,119,6
166,120,6
167,121,6
168,76,7
169,77,7
170,78,7
171,79,7
172,80,7
173,81,7
174,82,7
175,83,7
176,84,7
177,85,7
178,86,7
179,87,7
180,88,7
181,89,7
182,90,7
183,91,7
184,92,7
185,93,7
186,94,7
187,95,7
188,96,7
189,97,7
190,98,7
191,99,7
192,100,7
193,101,7
194,102,7
195,103,7
196,104,7
197,105,7
198,106,7
199,107,7
200,108,7
201,109,7
202,110,7
203,111,7
204,112,7
205,113,7
206,114,7
207,115,7
208,116,7
209,117,7
210,118,7
211,119,7
212,120,7
213,121,7
214,122,7
215,123,7
216,75,8
217,76,8
218,77,8
219,78,8
220,79,8
221,80,8
222,81,8
223,82,8
224,83,8
225,84,8
226,85,8
227,86,8
228,87,8
229,88,8
230,89,8
231,90,8
232,91,8
233,92,8
234,93,8
235,94,8
236,95,8
237,96,8
238,97,8
239,98,8
240,99,8
241,100,8
