x,y,_index
2790,7470,7859790158940
2520,7440,7988639178090
3030,7410,8117488196460
2430,7410,8117488197060
3300,7380,8246337215070
2700,7380,8246337215670
2100,7380,8246337216270
3180,7350,8375186234070
2580,7350,8375186234670
1980,7350,8375186235270
3480,7320,8504035252650
2880,7320,8504035253250
2280,7320,8504035253850
3960,7290,8632884271050
3360,7290,8632884271650
2760,7290,8632884272250
2160,7290,8632884272850
4230,7260,8761733289660
3630,7260,8761733290260
3030,7260,8761733290860
2430,7260,8761733291460
1830,7260,8761733292060
4020,7230,8890582308750
3420,7230,8890582309350
2820,7230,8890582309950
2220,7230,8890582310550
4740,7200,9019431326910
4140,7200,9019431327510
3540,7200,9019431328110
2940,7200,9019431328710
2340,7200,9019431329310
1740,7200,9019431329910
4410,7170,9148280346120
3810,7170,9148280346720
3210,7170,9148280347320
2610,7170,9148280347920
2010,7170,9148280348520
4740,7140,9277129364670
4140,7140,9277129365270
3540,7140,9277129365870
2940,7140,9277129366470
2340,7140,9277129367070
1740,7140,9277129367670
4680,7110,9405978383610
4080,7110,9405978384210
3480,7110,9405978384810
2880,7110,9405978385410
2280,7110,9405978386010
1680,7110,9405978386610
4710,7080,9534827402460
4110,7080,9534827403060
3510,7080,9534827403660
2910,7080,9534827404260
2310,7080,9534827404860
1710,7080,9534827405460
4830,7050,9663676421220
4230,7050,9663676421820
3630,7050,9663676422420
3030,7050,9663676423020
2430,7050,9663676423620
1830,7050,9663676424220
5010,7020,9792525439920
4410,7020,9792525440520
3810,7020,9792525441120
3210,7020,9792525441720
2610,7020,9792525442320
2010,7020,9792525442920
5370,6990,9921374458440
4770,6990,9921374459040
4170,6990,9921374459640
3570,6990,9921374460240
2970,6990,9921374460840
2370,6990,9921374461440
1770,6990,9921374462040
5220,6960,10050223477470
4620,6960,10050223478070
4020,6960,10050223478670
3420,6960,10050223479270
2820,6960,10050223479870
2220,6960,10050223480470
1620,6960,10050223481070
5190,6930,10179072496380
4590,6930,10179072496980
3990,6930,10179072497580
